[0.15998391,0.20867542];[-6.49588108e-04,3.28304064e-04,2.86023967e-01,9.58222182e-01];[[3.20000005, 0.9], [2.40000004, -1.30000004], [1.60000002, 1.70000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.228325273192112], [13.989984815705471], [14.05165851856548], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,1.70000001]
[1.42083834,1.52520514];[2.49420600e-04,-1.90352945e-04,3.74253356e-01,9.27326442e-01];[[3.87379054, 1.83214719], [4.25515532, -1.44078541], [3.66493137, 4.15408146], [0.59612872, 3.02776953], [2.40000004, -1.30000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.672958150593608], [15.994251216028179], [15.947457740373903], [17.71912035800682], [15.83658091835305], [0], [0], [0], [0], [0]];[0.59612872,3.02776953]
[0.71714059,2.78996568];[-4.78873222e-04,2.16914642e-03,8.52622518e-01,5.22522646e-01];[[5.09335728, 1.35014496], [2.40000004, -1.30000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.548306881403933], [2557.3284696749615], [0], [0], [0], [0], [0], [0], [0], [0]];[2.40000004,-1.30000004]
[2.55445025,-1.52167296];[-5.57960693e-04,-4.78147717e-04,-6.30098474e-01,7.76514893e-01];[[4.8567418, 5.33924388], [4.77717794, 2.1039611], [6.80554771, -2.30807137], [5.50000008, -3.50000015], [4.80000007, -9.98377798e-08], [-2.98023206e-09, -4.20000016], [-1.30000002, -0.80000011], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.262841016999169], [1.5066875181825856], [1.5064208466693785], [1.5145496642939968], [1.6160458680243792], [1.5093395630567061], [22.83557042982942], [0], [0], [0]];[-1.30000002,-0.80000011]
[-1.56343195,-0.68517426];[0.00478904,0.00295089,0.99981539,-0.01837217];[[-2.46322333, -1.53523714], [-0.4582625, -3.7566346], [7.78167343, -0.19134928], [5.10000007, -2.70000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.86094430791003], [7.6929234930748605], [7.0722240167710355], [7.369484818498972], [0], [0], [0], [0], [0], [0]];[-2.46322333,-1.53523714]
[-2.26973368,-1.36081053];[5.68212637e-03,-5.89489575e-04,9.34230619e-01,-3.56623774e-01];[[4.79326505, -2.40113645], [-0.12587576, -4.20343543], [-3.63333322, 0.13333324], [-3.74999995, -4.15000015], [5.01330328, 5.17702055], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.648918467351174], [7.976673325028095], [8.333260619557697], [7.9766733250280994], [7.067888970575424], [0], [0], [0], [0], [0]];[-3.63333322,0.13333324]
[-3.46921263,-0.06158181];[0.00438938,0.00465766,0.91662034,0.39970764];[[-0.4575936, -3.75763393], [-3.95000032, 0.79999992], [6.50511646, -4.2587862], [5.09999982, -2.70000013], [-2.50000029, -3.80000015], [-4.20000032, -3.40000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.42902929772592], [8.792676830020277], [7.7831923359554365], [31.72861244572481], [8.429029297725917], [10.794588877118857], [0], [0], [0], [0]];[5.09999982,-2.70000013]
[4.86919505,-2.59860126];[-4.83361378e-04,3.73485046e-04,-2.34822769e-01,9.72038011e-01];[[8.22197628, 0.20192459], [-0.20000026, -4.10000015], [-4.00000032, 0.09999991], [-4.10000032, -3.40000014], [-5.51785946, 0.10031047], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.794659914319805], [16.28759168196285], [39.97468457826443], [17.734849986802644], [36.70923463230279], [0], [0], [0], [0], [0]];[-4.00000032,0.09999991]
[-3.76072525,0.05617583];[2.53244198e-03,7.22507301e-04,9.98448114e-01,5.56274852e-02];[[-0.19999948, -4.09999977], [-2.69999951, -3.89999977], [-4.09999954, -3.29999976], [-4.19999954, 0.20000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.98958032868365], [29.98958032868365], [29.989580328683612], [35.0948983224824], [0], [0], [0], [0], [0], [0]];[-4.19999954,0.20000029]
[-3.95511194,0.13813335];[2.37698459e-03,9.24240462e-04,9.89235692e-01,1.46308721e-01];[[-4.88476206, 0.10345029], [-0.20000024, -4.09999977], [-3.95671892, -5.00067282], [-4.1000003, -3.29999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[31.065999997887396], [30.24499172329957], [30.41532698718726], [30.24499172329957], [0], [0], [0], [0], [0], [0]];[-4.88476206,0.10345029]
[-4.63729703,0.10564695];[2.34719712e-03,4.70427298e-04,9.99933501e-01,1.12808919e-02];[[-3.36904135, -3.25615206], [-0.19999966, -4.09999977], [-5.19999974, 0.20000029], [-7.79999978, 0.8000003], [-7.79999978, -2.19999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [30.617562283036047], [0.0], [36.10441220727306], [73.91206504564816], [0], [0], [0], [0], [0]];[-7.79999978,-2.19999975]
[-8.07905041,-2.31776599];[0.00460804,-0.00171476,0.91710597,-0.39861317];[[-0.20000024, -4.09999977], [-5.50000032, -4.19999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[32.341044502680504], [32.912058152072156], [0], [0], [0], [0], [0], [0], [0], [0]];[-5.50000032,-4.19999977]
[-0.62767323,-4.17557673];[-0.00319921,0.00283642,-0.12026797,0.99273226];[[8.54983997, 1.61301792], [-0.20000024, -4.19999977], [-1.90000026, -4.39999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[45.48851577868025], [0.0], [29.607591600505096], [0], [0], [0], [0], [0], [0], [0]];[8.54983997,1.61301792]
