[0.16793902,0.22208748];[-4.92067713e-05,9.08550716e-04,2.98182527e-01,9.54508434e-01];[[3.00000005, 0.70000001], [2.10000003, 2.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[259.91125951156744], [257.4228678863793], [0], [0], [0], [0], [0], [0], [0], [0]];[3.00000005,0.70000001]
[2.76092715,0.65383216];[-5.46721366e-04,-1.91520085e-03,9.91687582e-02,9.95068640e-01];[[4.84541106, -0.11382542], [1.4969782, 3.05780975], [5.80000009, -1.50000003], [3.50000005, 4.80000007], [0.69957787, -0.65490502], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.176041045275092], [28.170057058636516], [25.04697588938585], [25.03078979376369], [28.170057058636516], [0], [0], [0], [0], [0]];[4.84541106,-0.11382542]
[4.61030303,-0.0296456];[-5.96208815e-04,8.54352581e-06,-1.70518788e-01,9.85354239e-01];[[5.21451354, -2.23585692], [8.90000013, 2.09999992], [7.50000011, -0.15000011], [3.25489073, -2.30694951], [3.50000005, 4.79999996], [1.30000002, 2.79999993], [0.48902136, -0.56425589], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.719373055464681], [0.0], [52.216479429710986], [12.719373055464686], [11.409978123963588], [11.409978123963594], [237.74888098675783], [0], [0], [0]];[0.48902136,-0.56425589]
[0.74038187,-0.51545194];[-2.24534025e-03,5.35909852e-04,9.94847142e-01,-1.01359923e-01];[[0.3, -3.96666644], [-2.0666667, -0.89999973], [0.49799256, 2.07853909], [3.50000005, 4.80000036], [-2.50000004, -5.09999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.860460196368114], [32.887646722315964], [7.052168831956654], [3.2958482217270384], [6.213139260057326], [0], [0], [0], [0], [0]];[-2.0666667,-0.89999973]
[-1.85669351,-0.83096046];[-8.80260294e-04,8.68931203e-05,9.82311280e-01,-1.87253217e-01];[[0.34874622, -3.93964954], [3.23281713, 4.74483988], [0.5000003, 2.70000033], [-1.89999974, -1.59999974], [-3.59999977, 0.40000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[800.8422901572153], [393.0011367990838], [421.68640036905305], [1037.3699906883298], [441.2430751975371], [0], [0], [0], [0], [0]];[-1.89999974,-1.59999974]
[-1.86491371,-1.34538508];[1.47191603e-03,-4.18432254e-04,-7.70493688e-01,6.37445781e-01];[[0.26666696, -3.9333331], [8.62887136, 2.65721588], [8.87141991, 0.29583734], [0.5000003, 2.70000033], [-3.79999977, 0.30000029], [-4.49999978, -3.39999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[876.2234944398812], [367.4945693091006], [369.8240835795575], [411.2255970146967], [429.96499001058567], [406.15293041082356], [0], [0], [0], [0]];[0.26666696,-3.9333331]
[0.29399382,-4.00895997];[1.58241455e-04,-1.19626634e-03,-3.18457383e-01,9.47936412e-01];[[3.60989338, 4.84286269], [0.50000031, 2.70000033], [-3.29999975, -3.29999976], [-3.29999975, -4.79999978], [-3.99999976, 0.40000029], [-4.69999977, -5.39999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[371.6175056549274], [774.794342410188], [409.02720866366934], [407.7854339308044], [392.57640779444995], [389.6643083101439], [0], [0], [0], [0]];[0.50000031,2.70000033]
[0.46582912,2.65704441];[-7.89242206e-04,-6.79294363e-04,6.01047879e-01,7.99212352e-01];[[8.41783646, 2.67128129], [-3.29999975, -3.29999976], [-3.29999975, -4.79999978], [-3.79999975, 2.30000032], [-3.99999976, 0.10000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.254469328311088], [2.259079007513933], [6.366617905302322], [2.2570676883112153], [2.3502717540754037], [0], [0], [0], [0], [0]];[-3.29999975,-4.79999978]
[-3.30804206,-4.7365003];[-1.62861335e-04,-4.95852828e-04,-7.78260928e-01,6.27940820e-01];[[8.1710091, 2.50184707], [9.10610771, -4.5283761], [-2.39999952, 5.10000036], [-3.79999955, 2.30000032], [-3.99999955, 0.10000029], [-5.49999957, -2.59999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.115777028190585], [2.251945228611027], [1.2493763229646444], [1.2865766995741923], [1.3266250199521012], [1.691655207441943], [0], [0], [0], [0]];[8.1710091,2.50184707]
[8.10539889,2.50118827];[-0.00140086,0.00260247,0.15651236,0.98767158];[[-3.93511467, 1.23939226], [-2.30000027, 5.20000037], [-6.20000033, -2.99999976], [-7.90000035, -2.49999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.1957696216974114], [1.1680962610143129], [0.8212348455341765], [0.8199732865935055], [0], [0], [0], [0], [0], [0]];[-3.93511467,1.23939226]
[-4.08104413,1.17898662];[3.36783120e-04,-3.76527717e-04,9.99000855e-01,4.46879923e-02];[[-4.3000003, 0.20000029], [-6.30000033, -2.99999976], [-6.60000033, 2.20000032], [-8.00000035, -2.49999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1683.6772538150317], [1767.4726213124], [1118.826722842238], [1117.9482070738145], [0], [0], [0], [0], [0], [0]];[-6.30000033,-2.99999976]
[-6.31552243,-3.10034328];[-0.00129228,-0.00160833,0.91069226,-0.41308031];[[-8.26750801, 0.60834491], [-3.50000027, 2.70000033], [-5.3000003, 0.6000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1041.9756702216], [1024.907374886999], [1940.6367302268743], [0], [0], [0], [0], [0], [0], [0]];[-5.3000003,0.6000003]
