[0.16258141,0.21393727];[-5.68662881e-04,6.31997199e-04,2.97123898e-01,9.54838557e-01];[[3.20000005, 0.90000004], [3.10000005, -1.39999999], [2.00000003, 2.90000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.081438478817493], [11.047366336164721], [10.974087822810953], [0], [0], [0], [0], [0], [0], [0]];[3.20000005,0.90000004]
[2.95605812,0.83655456];[-1.34217244e-03,-4.28958236e-04,1.33369886e-01,9.91065322e-01];[[1.2599166, -0.8659534], [1.2057072, 2.74179517], [5.77570868, 2.10385191], [4.50000007, -1.00000003], [3.09916878, 5.2468338], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[166.0369638965076], [165.76896693079433], [148.1627518434477], [164.35101940803887], [148.27009239315575], [0], [0], [0], [0], [0]];[1.2599166,-0.8659534]
[1.43420011,-0.67675188];[-0.00179472,0.00198517,0.91108193,-0.41221664];[[2.96945804, -4.0714399], [4.10211029, -2.20010715], [0.70000005, -4.19999987], [5.8578558, -1.61467147], [1.84576237, 4.21552753], [0.80000005, 1.70000022], [-0.29999996, 0.4000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.243546811078067], [9.243546811078067], [9.243546811078067], [16.348536817566632], [9.243546811078067], [10.123792220287205], [10.123792220287195], [0], [0], [0]];[5.8578558,-1.61467147]
[5.61983972,-1.53962494];[-4.86147991e-05,1.16023588e-03,-1.66779491e-01,9.85993538e-01];[[0.0516876, -5.20368274], [8.60000021, 1.40000031], [-0.49999992, 0.40000029], [-1.79999994, -2.79999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.49914125366893], [31.75480077554204], [29.742591223996087], [121.30334300614167], [0], [0], [0], [0], [0], [0]];[-1.79999994,-2.79999975]
[-2.01825603,-2.77610313];[6.63298329e-04,1.99842317e-03,9.81760959e-01,-1.90107811e-01];[[-3.8474884, -0.07500825], [8.33089556, 1.24102195], [-0.96666639, -4.19999977], [2.00000032, 4.60000036], [-3.59999976, -4.19999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[26.987935837833092], [67.92182284443177], [28.147969302490306], [25.902896742470865], [28.147969302490356], [0], [0], [0], [0], [0]];[8.33089556,1.24102195]
[8.41870982,1.24337291];[2.40360815e-05,-1.42491732e-05,2.95580727e-01,9.55317758e-01];[[-4.10000006, 0.26666697], [2.00000003, 4.60000036], [-1.70929396, 3.84196067], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[50.95514236476006], [30.898960726055606], [29.879857949364425], [0], [0], [0], [0], [0], [0], [0]];[-4.10000006,0.26666697]
[-3.84788298,0.24930132];[5.85760223e-05,-9.00960953e-04,9.97507117e-01,7.05601697e-02];[[-4.68544819, 0.15867196], [2.00000053, 4.60000036], [-3.89999955, 2.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[46.95799778352937], [44.28312816812355], [46.957997783529336], [0], [0], [0], [0], [0], [0], [0]];[-4.68544819,0.15867196]
[-4.44405764,0.1725915];[-2.84684133e-04,-9.28164246e-04,9.99434624e-01,-3.36078184e-02];[[1.99999977, 4.60000036], [-3.90000031, 0.1000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[43.651416137517124], [46.25706536345237], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.90000031,0.1000003]
[-3.646618,0.0972363];[-0.00144554,-0.00460826,-0.16528036,0.98623479];[[-3.8000003, 2.55000033], [-7.25000035, 1.85000032], [1.99999979, 4.60000036], [-5.10000032, 0.2000003], [-9.00000038, 2.40000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[47.27281402891323], [45.92456341675269], [69.63852166992238], [65.1259447982632], [44.634018848573355], [0], [0], [0], [0], [0]];[1.99999979,4.60000036]
[1.81510088,4.43362625];[-1.42277791e-03,4.44559105e-04,3.77299220e-01,9.26090205e-01];[[-3.7000003, 2.50000033], [-5.70000033, 0.5000003], [-8.30000037, 2.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[45.95965906807659], [44.77247474441336], [43.6314753723849], [0], [0], [0], [0], [0], [0], [0]];[-3.7000003,2.50000033]
[-4.16703203,2.27803927];[-8.60403233e-04,6.54816736e-04,9.15721220e-01,-4.01812746e-01];[[-5.28464328, 0.10185539], [7.68754721, 3.6057446], [-0.71536231, 5.07695532], [-7.59999978, 0.50000001], [-9.29999981, 2.00000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.441749737641454], [1.6052609582715134], [0.8626560762730429], [1.4634158274439324], [1.1599556906250075], [0], [0], [0], [0], [0]];[-5.28464328,0.10185539]
[6.89193572,2.54948819];[-4.04342555e-04,1.34577991e-03,1.43337248e-01,9.89672906e-01];[[8.03583336, 3.71752739], [-9.00282001, 3.39916706], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.06708317811450108], [0.06536338929946035], [0], [0], [0], [0], [0], [0], [0], [0]];[8.03583336,3.71752739]
