[0.16806241,0.21974115];[-4.80244239e-04,2.52902862e-04,2.88088729e-01,9.57603564e-01];[[1.67853049, 1.80342259], [3.30000005, 1.00000011], [2.60000004, -1.79999993], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[124.15008788563482], [124.35726717604445], [114.76668216200893], [0], [0], [0], [0], [0], [0], [0]];[3.30000005,1.00000011]
[3.06293565,0.93551503];[-3.11608054e-04,-1.88788674e-03,1.41508900e-01,9.89935136e-01];[[5.27164256, 0.21488193], [4.17697495, 5.25080232], [3.20374744, -1.80847227], [2.08440638, 4.33258486], [1.30000002, 2.80000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[381.25384882129015], [350.67724264676934], [383.4663386150378], [352.3357319487286], [386.33006190934196], [0], [0], [0], [0], [0]];[1.30000002,2.80000014]
[1.46115731,2.62200474];[-4.19939666e-04,2.39363481e-03,9.20709633e-01,3.90240772e-01];[[-0.5378837, 0.74895868], [0.97919619, 2.88442743], [7.10000015, -0.49999991], [2.48393989, -2.10007668], [-1.39999998, 5.10000017], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.63269454411647], [9.92172001549335], [8.159151434348132], [8.957893513545597], [8.957893513545587], [0], [0], [0], [0], [0]];[-0.5378837,0.74895868]
[-0.36519737,0.92091431];[0.00116542,0.0019835,0.92945986,-0.36891609];[[-0.62646651, 0.13944507], [5.42599673, -0.90579904], [3.70656943, -3.11320961], [7.10000012, -0.49999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[43.535057131111294], [0.0], [7.736552734333306], [7.200749985069702], [0], [0], [0], [0], [0], [0]];[-0.62646651,0.13944507]
[-0.54661696,0.37286594];[-0.00296494,-0.00201945,-0.81939614,0.57321646];[[-1.43333336, -1.63333334], [2.75000008, -1.84999994], [-0.59999997, -3.59999997], [-1.54648926, 0.395443], [-3.40000014, -0.10000011], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[49.922424392699995], [7.710620664573558], [7.710620664573558], [8.283746792458736], [8.283746792458736], [0], [0], [0], [0], [0]];[-1.43333336,-1.63333334]
[-1.40814822,-1.48168957];[-0.00331229,-0.00153301,-0.76612403,0.64268239];[[-4.23006985, -0.24510443], [6.76650039, -0.86702122], [3.60343732, -2.37275059], [-0.40000009, -3.90000002], [0.21495686, -1.61860716], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.42973203828193], [0.0], [104.60425528562276], [24.3993208179405], [125.14599678126503], [0], [0], [0], [0], [0]];[0.21495686,-1.61860716]
[3.64673761,-2.35551914];[-0.01018585,0.00400802,-0.23670912,0.9715189];[[4.34999999, -3.55000015], [1.09999994, -4.25000016], [-1.75924657, 5.1837479], [-3.80000013, 0.64999991], [4.99217463, -1.41949379], [-4.80000015, -4.00000016], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.799027530427383], [8.591887116658322], [8.13919994636555], [8.324593414438647], [8.84228059862431], [8.105557624735768], [0], [0], [0], [0]];[4.99217463,-1.41949379]
[4.78633339,-1.55152378];[-0.00684129,0.00933481,0.28648264,0.95801554];[[-4.02329711, 0.46969204], [6.00000001, -2.90000005], [2.19999996, -4.20000007], [0.39999993, -4.50000007], [-2.10000011, 5.30000008], [-4.80000015, -4.00000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[41.4306951282483], [8.745557874305717], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[-4.02329711,0.46969204]
[-3.77960317,0.42344674];[0.00801098,0.00638977,0.9942647,0.10645517];[[8.13727382, 2.198185], [-4.18651616, 0.15336299], [6.30000031, -3.20000005], [2.20000025, -4.20000007], [0.40000022, -4.50000007], [-4.79999986, -4.00000006], [-5.29999987, 2.70000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0]];[8.13727382,2.198185]
[7.90117076,2.19276158];[2.31888167e-04,1.04787732e-03,-1.72089227e-02,9.99851335e-01];[[2.89325587, -4.40546244], [8.7999999, 0.80000001], [6.39999986, -3.20000005], [0.39999977, -4.50000007], [-5.10000031, -4.90000008], [-8.20000036, 0.1], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[2.89325587,-4.40546244]
[3.04861095,-4.24102144];[-0.00264809,0.00346922,0.93798342,-0.34665265];[[-5.10000031, -4.90000017], [-8.20000036, 0.09999991], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-5.10000031,-4.90000017]
[-5.20591685,-4.87573855];[-0.00326412,0.00169913,0.98984818,-0.14208112];[[-8.22610644, 0.23225907], [-3.80000028, -4.90000017], [-6.00000032, -2.70000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-8.22610644,0.23225907]
