[0.17460605,0.22958494];[-3.98014671e-04,5.88993444e-04,3.03364458e-01,9.52874338e-01];[[1.1454699, 1.50728907], [3.30000005, 0.90000001], [2.40000004, -1.30000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.232124722361329], [13.392934878206603], [0.0], [0], [0], [0], [0], [0], [0], [0]];[1.1454699,1.50728907]
[0.99086981,1.31194284];[7.51516595e-04,-2.23891417e-04,4.38065346e-01,8.98942789e-01];[[1.91018946, 3.70410837], [3.890334, 1.48586655], [0.49410081, 1.3642621], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[33.359724726064805], [33.89874499198198], [33.924247369011546], [0], [0], [0], [0], [0], [0], [0]];[0.49410081,1.3642621]
[0.26358859,1.32257379];[4.59072206e-04,3.20049798e-04,9.87851830e-01,1.55397683e-01];[[4.04852144, 1.51618651], [2.07246835, -1.25461839], [0.2, 2.25000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.777605539122675], [29.990594767834626], [33.35905158538183], [0], [0], [0], [0], [0], [0], [0]];[0.2,2.25000003]
[0.2478445,1.99833381];[7.16905986e-04,1.78877079e-04,7.59226628e-01,6.50825919e-01];[[3.11932505, -1.5066477], [3.99368818, 1.40505643], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.274440632745605], [30.82557823426275], [0], [0], [0], [0], [0], [0], [0], [0]];[3.99368818,1.40505643]
[3.74506544,1.45320636];[1.47585539e-03,-3.83204314e-04,-9.87919884e-02,9.95106938e-01];[[3.94852034, -1.56688232], [1.96345745, -1.24732164], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[48.48315687508939], [281.7150619153504], [0], [0], [0], [0], [0], [0], [0], [0]];[1.96345745,-1.24732164]
[1.86617135,-1.29210512];[0.00245812,-0.00192547,-0.67872326,0.73438749];[[6.9000001, 2.10000002], [5.70000008, -2.80000005], [0.09981127, 1.74631882], [-0.80000001, 0.29999999], [-1.00000002, -3.80000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.424617481260187], [4.764429479086319], [60.051980595067235], [20.394865253135876], [4.694587024992529], [0], [0], [0], [0], [0]];[0.09981127,1.74631882]
[0.21599506,1.51783191];[3.52734960e-04,-4.11961851e-03,8.36251946e-01,5.48329809e-01];[[-1.90332545, -1.02304201], [7.35654173, 2.05759066], [6.13636231, -2.55049222], [-0.89999983, 2.90000003], [-0.79999983, -4.00000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.195087599952753], [4.135354350126561], [4.172667897698367], [4.512038510274201], [4.141396872841578], [0], [0], [0], [0], [0]];[-1.90332545,-1.02304201]
[-1.73884869,-0.83100601];[-0.00277536,0.00133952,0.9129677,-0.40802017];[[-4.02243412, -0.39053337], [6.9000004, 2.10000002], [5.70000038, -2.80000005], [-0.39999971, 4.30000005], [-0.39999971, -5.00000008], [-1.79999973, -1.60000003], [-3.19999975, -3.70000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.869627045034868], [16.410195226250877], [13.46523432181084], [4.6494936328700645], [4.685157970093139], [4.863156738799971], [4.671258828272896], [0], [0], [0]];[6.9000004,2.10000002]
[7.02264753,2.186663];[-3.30309253e-04,6.67880576e-04,7.06067440e-02,9.97503950e-01];[[5.3035788, -2.86692646], [-0.44491368, 4.30177796], [8.50000042, 0.70000019], [6.20000039, -5.2999999], [-2.09999974, -1.79999984], [-3.79999976, -0.39999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.11665958244622], [21.11665958244622], [22.80460700308881], [21.11665958244622], [48.66973242848682], [48.41710159343474], [0], [0], [0], [0]];[-2.09999974,-1.79999984]
[-2.12331299,-1.77338316];[-4.08991149e-04,2.67531088e-03,9.47014058e-01,-3.21180714e-01];[[8.40000042, 1.1000003], [7.24243927, -2.51035428], [5.70000038, -2.69999976], [-0.59999971, 4.00000034], [-3.49999976, -4.39999979], [-3.79999976, -0.29999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[45.08672099518161], [56.31758280007925], [72.15257202011936], [41.504405172744804], [34.28718031253038], [38.99569512406682], [0], [0], [0], [0]];[5.70000038,-2.69999976]
[5.66940547,-2.66078405];[-0.00117627,-0.00192324,-0.17676377,0.98425072];[[8.50000044, 1.09999992], [-3.99999975, 0.09999991], [-5.89999978, -3.10000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.6135357910743062], [4.416232891240753], [2.4543884622710825], [0], [0], [0], [0], [0], [0], [0]];[-3.99999975,0.09999991]
[-3.77047176,0.06302022];[-3.19737355e-04,1.77815596e-03,9.96899888e-01,7.86596125e-02];[[-2.51828969, 4.46020794], [-4.29999955, 0.19999991], [-5.69999957, -3.00000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.057017026540141784], [0.0679723111626045], [0.0853964747223543], [0], [0], [0], [0], [0], [0], [0]];[-5.69999957,-3.00000014]
[-5.67670747,-3.01639688];[-4.98221534e-04,6.25185062e-04,9.28010004e-01,-3.72554414e-01];[[-8.05940673, 0.40873856], [-7.20000033, 2.09999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.115663767944423], [3.6631906910089223], [0], [0], [0], [0], [0], [0], [0], [0]];[-8.05940673,0.40873856]
